pred_remaining_heat_mean,remaining_heat,horizon_bucket,city
3.623039666458436,4.600000000000001,h4,TOR
7.100916332210592,6.3999999999999995,h7,TOR
7.219330884922147,12.2,h8,TOR
1.2709207917042884,2.1999999999999993,h3,TOR
1.9510362807527875,2.0,h7,WLG
0.38073255614216256,0.0,h3,WLG
6.540171484938765,6.6,h7,BUE
3.3906504564334226,3.0,h6,DAL
2.3589355111469406,3.0,h6,WLG
7.553980217155699,8.0,h6,SEA
2.7449886977568534,1.5,h4,ANK
7.510353058235328,5.0,h8,BUE
7.364282658460713,6.599999999999998,h8,BUE
7.184604792183387,4.0,h9,CHI
11.494598041060508,9.0,h9,ATL
2.3439162399073705,2.0,h5,SEL
13.56389579673178,16.0,h8,ANK
0.623756040495367,0.1999999999999993,h2,ANK
2.0572160400526194,2.0,h4,MIA
6.062934642381466,7.0,h7,ATL
8.696676290502605,8.400000000000002,h9,MIA
9.273081042706664,10.1,h9,TOR
0.6262093831631033,0.5,h2,MIA
1.4127469178913667,0.3999999999999986,h3,ANK
5.048966884682845,3.3000000000000007,h7,NYC
1.3951077112375245,0.0,h3,PAR
4.117990782376471,4.5,h4,ATL
3.9778138587406913,4.4,h5,TOR
2.9496575872497917,5.6,h8,TOR
5.834060767284375,6.699999999999999,h6,SEA
0.06363567622658925,0.0,h3,WLG
2.8669436216422497,3.3000000000000007,h4,LON
3.1062820309855934,6.300000000000001,h9,TOR
7.47685074599932,8.0,h4,WLG
2.1848914085843925,2.200000000000003,h3,TOR
5.198773737665981,7.0,h8,PAR
1.3799625965040843,0.8000000000000007,h3,BUE
1.195347564073986,1.0,h1,CHI
4.237878862260035,5.0,h5,SEA
4.679889812666547,1.0,h6,SEL
3.744910345374102,3.0,h5,ANK
1.0353130200313392,0.1999999999999993,h2,BUE
7.623603433284028,6.699999999999999,h9,SEA
7.913450456132645,9.0,h2,CHI
2.2197690639814125,1.1000000000000014,h4,DAL
9.75415151023329,10.3,h9,TOR
2.8372376793195317,2.8000000000000007,h5,CHI
2.6677182278784204,3.0,h5,PAR
8.86638261761333,9.0,h5,ATL
8.958725299057333,10.0,h7,SEL
2.6380332629264855,14.400000000000002,h5,CHI
2.818362945560342,1.0,h5,SEL
1.1189791159320377,0.0,h2,DAL
4.019922162903805,3.6999999999999993,h6,BUE
5.259291558864795,7.0,h5,TOR
3.4548069920032813,2.0,h8,ANK
9.193082056138948,8.9,h5,CHI
5.3675913487770694,7.0,h5,SEL
1.971151798374375,2.5,h3,BUE
9.404972671361763,10.0,h9,DAL
2.4967953777578087,2.200000000000003,h3,NYC
4.6171633377345325,5.0,h5,SEL
5.58251821862979,6.0,h7,NYC
0.34443963494750746,0.0,h1,ATL
0.6600944565551181,1.0,h2,BUE
0.7429577463298568,0.0,h2,SEL
2.0172670866033227,2.0,h5,WLG
6.860571363050122,6.9,h9,TOR
10.46925943875744,10.0,h8,DAL
2.824048054896981,2.0,h5,PAR
0.936829045673021,0.0,h4,WLG
3.133922621495998,2.0,h8,NYC
2.4390295273030023,3.3999999999999986,h3,ATL
7.998185352325333,11.399999999999999,h8,TOR
2.83708224949778,0.6000000000000014,h5,NYC
6.90691009095168,7.1,h6,ATL
6.054448812672362,13.0,h6,SEL
0.9318392489508907,0.6000000000000014,h2,ATL
4.879210196535638,8.1,h7,ANK
2.0133419081743766,3.900000000000002,h4,CHI
1.8906007194538939,1.0,h4,PAR
0.7519779553703552,1.5,h3,LON
1.9174479869550363,1.0,h4,ATL
6.36568304862181,7.800000000000001,h7,ATL
3.724998816803671,2.0,h6,MIA
3.023974961026896,3.0,h4,PAR
3.024302678138631,1.6999999999999993,h5,SEA
1.2312834633877663,0.0,h3,BUE
1.2758058686670557,2.0,h3,BUE
5.3498880501695965,5.0,h7,MIA
0.9614274419840187,1.3999999999999986,h2,LON
4.429743453217772,1.8999999999999986,h7,TOR
0.15785729538114773,1.0,h1,SEL
2.8822617101316075,3.0,h6,MIA
9.709453638439584,6.0,h9,CHI
1.4362224009416373,1.0,h6,WLG
1.340201635794975,1.0,h2,SEA
7.838139148551632,9.4,h7,SEA
