feature,importance_mean,importance_std,horizon_bucket
delta_temp_11h,0.002527013032634917,0.0,h6
delta_temp_8h,0.0024863647747592754,0.0,h6
delta_temp_9h,0.0018186789687630878,0.0,h6
delta_temp_7h,0.001775037357672371,0.0,h6
delta_pres_1h,0.0016642509443158815,0.0,h6
doy_sin,0.0016043897198281254,0.0,h6
temp_lag_19h,0.0015578315883602034,0.0,h6
temp_lag_23h,0.0015459408808560227,0.0,h6
temp_lag_1h,0.001154466158551637,0.0,h6
temp_lag_4h,0.001153666104111828,0.0,h6
delta_temp_6h,0.0011210773791117123,0.0,h6
temp_lag_15h,0.0011061021414511263,0.0,h6
temp_lag_16h,0.0010127719378121292,0.0,h6
temp_roll_mean_6h,0.0009201626861503609,0.0,h6
temp_lag_7h,0.0007484622667330854,0.0,h6
temp_lag_11h,0.0006145128377865738,0.0,h6
temp_lag_14h,0.000592125251065001,0.0,h6
temp_lag_20h,0.0005617706605951511,0.0,h6
rain_24h_sum,0.00036175162391982596,0.0,h6
delta_temp_22h,0.00035396685821664775,0.0,h6
delta_temp_12h,0.00015564522071187525,0.0,h6
temp_lag_22h,0.00015291672604211826,0.0,h6
temp_roll_mean_12h,0.00013360363958803134,0.0,h6
latitude,0.00011217925819329011,0.0,h6
temp_lag_12h,9.342743681095556e-05,0.0,h6
temp_lag_10h,5.6716959738079e-05,0.0,h6
temp_roll_mean_24h,5.031730374560617e-05,0.0,h6
temp_lag_6h,3.187130485593492e-05,0.0,h6
is_daylight,0.0,0.0,h6
is_us_airport,0.0,0.0,h6
is_coastal_airport,0.0,0.0,h6
is_raining,0.0,0.0,h6
delta_temp_1h,0.0,0.0,h6
temp_lag_21h,-2.8339625737672236e-05,0.0,h6
yesterday_max_temp,-3.5439471816500756e-05,0.0,h6
temp_lag_13h,-3.61331498199835e-05,0.0,h6
delta_temp_21h,-0.00013772016069646398,0.0,h6
temp_lag_9h,-0.00022405845077355657,0.0,h6
prcp,-0.00033663151437024474,0.0,h6
delta_temp_5h,-0.0003729665658365189,0.0,h6
temp_lag_8h,-0.0003944878018160569,0.0,h6
rain_6h_sum,-0.0005257164616740972,0.0,h6
delta_temp_3h,-0.0005832130625098575,0.0,h6
rain_3h_sum,-0.0005903696141698056,0.0,h6
rain_12h_sum,-0.0007313558104471429,0.0,h6
delta_temp_4h,-0.0007875252196081206,0.0,h6
delta_cldc_1h,-0.0008305092192806285,0.0,h6
delta_cldc_3h,-0.0012870409789365045,0.0,h6
longitude,-0.0013339745544682646,0.0,h6
delta_cldc_6h,-0.001612258470485406,0.0,h6
delta_pres_3h,-0.0022458074607165646,0.0,h6
pres,-0.00313192620432301,0.0,h6
delta_temp_2h,-0.0037053784680360913,0.0,h6
city,0.16764006335128445,0.0,h5
delta_temp_18h,0.11487895184136243,0.0,h5
delta_temp_17h,0.09353870844903733,0.0,h5
solar_hour_angle_deg,0.06813957170745555,0.0,h5
rhum,0.057934822562829336,0.0,h5
